index,Title,Link,PubDate,Description
1,Destiny 2 Update 7.3.0.2,https://www.bungie.net/7/en/News/Article/update_patch_notes_7302,2023-12-07T17:00:00Z,The one about going safely to Orbit from Warlord's Ruin 
2,Destiny 2 Update 7.3.0.1,https://www.bungie.net/7/en/News/Article/destiny-update-7301,2023-12-05T17:00:00Z,The one about Fireteam Finder. 
4,Destiny 2 Update 7.3.0,https://www.bungie.net/7/en/News/Article/update-7-3-0-patch-notes,2023-11-28T17:00:00Z,Patch notes for Season of the Wish
6,The Final Shape Release Update,https://www.bungie.net/7/en/News/Article/final_shape_release_update,2023-11-27T17:00:00Z,
11,Destiny 2 Update 7.2.5.3,https://www.bungie.net/7/en/News/Article/destiny-update-7253,2023-11-07T18:00:00Z,The one about Trials quitter protection.
13,Destiny 2 Update 7.2.5.2,https://www.bungie.net/7/en/News/Article/destiny-update-7252,2023-10-31T17:00:00Z,The one about getting the wolves in line.
16,Destiny 2 Update 7.2.5.1,https://www.bungie.net/7/en/News/Article/destiny-update-7251,2023-10-24T17:00:00Z,The one about whispers and festivals. 
18,Destiny 2 Update 7.2.5,https://www.bungie.net/7/en/News/Article/patch-7-2-5,2023-10-17T17:00:00Z,The one about the Mid-Season weapon balance update
22,Destiny 2 Update 7.2.0.6,https://www.bungie.net/7/en/News/Article/destiny-update-7206,2023-10-03T17:00:00Z,The one about Crota's End Challenge Mode emblem
26,Destiny 2 Update 7.2.0.5,https://www.bungie.net/7/en/News/Article/destiny-2-update-7205,2023-09-26T17:00:00Z,The one about fixing shotguns. 
28,Destiny 2 Update 7.2.0.4,https://www.bungie.net/7/en/News/Article/destiny_2_patch_notes_7_2_0_4,2023-09-21T17:00:00Z,The one about the Crota Triumphs.
31,Destiny 2 Update 7.2.0.3,https://www.bungie.net/7/en/News/Article/destiny_2_patch_notes_7_2_0_3,2023-09-07T17:00:00Z,The one about weapon drops from Trials of Osiris. 
34,Destiny 2 Hotfix 9/02/23,https://www.bungie.net/7/en/News/Article/destiny-2-hotfix-9-02-23,2023-09-02T20:22:00Z,The one about an ally.
36,Destiny 2 Update 7.2.0.2,https://www.bungie.net/7/en/News/Article/destiny_2_patch_notes_7_2_0_2,2023-08-29T17:00:00Z,The one about reenabling Loadouts
39,Destiny 2 Update 7.2.0.1 - Season of the Witch,https://www.bungie.net/7/en/News/Article/season-witch-update-7-2-0-1,2023-08-22T17:00:00Z,The one about the witch. 
42,An Update from Destiny 2 Game Director Joe Blackburn,https://www.bungie.net/7/en/News/Article/joe_summary,2023-08-16T00:00:00Z,Your morning cup of Joe.
47,Destiny 2 Update 7.1.5.3,https://www.bungie.net/7/en/News/Article/patch-notes-update-7-1-5-3,2023-08-08T17:00:00Z,The one about improving In Memoriam drop rates 
50,Destiny 2 Update 7.1.5.2,https://www.bungie.net/7/en/News/Article/patch-notes-update-7-1-5-2,2023-08-01T17:00:00Z,The one about Solstice fixes.
52,Developer Insights: Economy and Rewards Update,https://www.bungie.net/7/en/News/Article/economy_and_rewards_update4,2023-07-26T18:00:00Z,Let´s dive into some Economy and Reward changes! 
53,Destiny 2 Update 7.1.5.1,https://www.bungie.net/7/en/News/Article/patch-notes-update-7-1-5-1,2023-07-25T17:00:00Z,The one about joining Deep Dive activities 
55,Destiny 2 Update 7.1.5,https://www.bungie.net/7/en/News/Article/patch-notes-update-7-1-5,2023-07-18T17:00:00Z,The one in the middle of the season
62,Destiny 2 Update 7.1.0.3,https://www.bungie.net/7/en/News/Article/patch-notes-update-7-1-0-3,2023-06-27T17:00:00Z,The one about fixing the Commendations screen
67,Destiny 2 Update 7.1.0.2,https://www.bungie.net/7/en/News/Article/update_7_1_0_2,2023-06-13T15:00:00Z,The one about Armor fixes
70,Destiny 2 Hotfix 6/02/23,https://www.bungie.net/7/en/News/Article/destiny-2-hotfix-6-02-23,2023-06-03T04:52:00Z,The one about a horn.
72,Destiny 2 Update 7.1.0.1,https://www.bungie.net/7/en/News/Article/update_7_1_0_1,2023-06-01T17:00:00Z,The one about the firing delay.
